,date,year,month,open,high,low,close,volume,id
3526,2000-01-03,2000,1,26.22,506.5,25.42,27.97,18648000,3555
3525,2000-01-04,2000,1,27.06,506.5,25.3,25.62,17883600,3554
3524,2000-01-05,2000,1,25.94,506.5,25,26,27353600,3553
3523,2000-01-06,2000,1,26.53,506.5,23.25,23.75,26947600,3552
3522,2000-01-07,2000,1,24.12,506.5,23.88,24.75,16133600,3551
3521,2000-01-10,2000,1,25.5,506.5,23.69,24.44,17576800,3550
3520,2000-01-11,2000,1,23.98,506.5,22.62,23.19,15478800,3549
3519,2000-01-12,2000,1,23.75,506.5,21.62,21.8,34551200,3548
3518,2000-01-14,2000,1,25,506.5,24.84,25.11,13686400,3546
3517,2000-01-18,2000,1,25.25,506.5,25.11,25.98,15498000,3545
3516,2000-01-20,2000,1,28.88,506.5,28.25,28.38,64919200,3543
3515,2000-01-21,2000,1,28.56,506.5,27.55,27.83,17239600,3542
3514,2000-01-24,2000,1,27.11,506.5,26.28,26.56,15299200,3541
3513,2000-01-25,2000,1,26.25,506.5,25.59,28.06,17514800,3540
3512,2000-01-26,2000,1,27.5,506.5,27.38,27.55,12844000,3539
3511,2000-01-27,2000,1,27.2,506.5,26.75,27.5,11692800,3538
3510,2000-01-28,2000,1,27.05,506.5,25.16,25.41,14718000,3537
3509,2000-01-31,2000,1,25.25,506.5,23.62,25.94,24298000,3536
3508,2000-02-01,2000,2,26,506.5,25,25.06,10844800,3535
3507,2000-02-02,2000,2,25.19,506.5,24.25,24.7,16454000,3534
3506,2000-02-03,2000,2,25.08,506.5,25.06,25.83,16709200,3533
3505,2000-02-04,2000,2,25.98,506.5,25.91,27,14830000,3532
3504,2000-02-07,2000,2,27,506.5,26.48,28.52,15313600,3531
3503,2000-02-08,2000,2,28.5,506.5,27.81,28.72,14410400,3530
3502,2000-02-09,2000,2,28.53,506.5,28.1,28.16,10415200,3529
3501,2000-02-10,2000,2,28.22,506.5,27.28,28.38,10695600,3528
3500,2000-02-11,2000,2,28.41,506.5,27.06,27.19,7337200,3527
3499,2000-02-14,2000,2,27.33,506.5,27.16,28.95,12597200,3526
3498,2000-02-15,2000,2,28.81,506.5,28.8,29.75,17076800,3525
3497,2000-02-16,2000,2,29.44,506.5,28.03,28.53,13076000,3524
3496,2000-02-17,2000,2,28.8,506.5,28.28,28.72,10134800,3523
3495,2000-02-18,2000,2,28.66,506.5,27.47,27.81,8002000,3522
3494,2000-02-22,2000,2,27.53,506.5,26.67,28.45,14911200,3521
3493,2000-02-23,2000,2,28.31,506.5,27.75,29.06,16186400,3520
3492,2000-02-24,2000,2,29.33,506.5,27.94,28.8,13241200,3519
3491,2000-02-25,2000,2,28.7,506.5,27.53,27.59,8565600,3518
3490,2000-02-28,2000,2,27.53,506.5,27.09,28.31,11240400,3517
3489,2000-02-29,2000,2,28.39,506.5,28.14,28.66,12589200,3516
3488,2000-03-01,2000,3,0,506.5,29.62,32.58,38191600,3515
3487,2000-03-02,2000,3,0,506.5,30.12,30.5,10955600,3514
3486,2000-03-03,2000,3,0,506.5,30,32,11352000,3513
3485,2000-03-06,2000,3,0,506.5,31.25,31.42,7395200,3512
3484,2000-03-07,2000,3,31.61,506.5,30.28,30.72,9467600,3511
3483,2000-03-08,2000,3,30.72,506.5,29.64,30.5,9582800,3510
